"","X","GEOID2","Display","Population","AvgAge","AvgIncome","AvgEducation","ProportionEmployed","TotalICD9Estimate","TotalLower","TotalUpper","ChronicICD9Estimate","ChronicLower","ChronicUpper"
"63",63,"300630014004","Block Group 4, Census Tract 14, Missoula County, Montana",696,37.4885057471264,27530.701754386,4.13962264150943,0.694682675814751,2.6576935329613,2.38757889315379,2.92780817276882,0.238748195642475,0.194161087501444,0.283335303783506
"64",64,"300630014005","Block Group 5, Census Tract 14, Missoula County, Montana",814,37.7616707616708,26597.6821192053,4.05234657039711,0.626728110599078,3.60032315332244,3.3505465817212,3.85009972492368,0.335963954931593,0.29473399783998,0.377193912023207
"65",65,"300630015001","Block Group 1, Census Tract 15, Missoula County, Montana",866,43.3077367205543,45193.898852384,5.28892215568862,0.723796033994334,3.25671344245208,3.01455192541051,3.49887495949364,0.303660305124351,0.263687344918926,0.343633265329776
"66",66,"300630015002","Block Group 2, Census Tract 15, Missoula County, Montana",2154,35.5359795728876,39829.0813621765,4.70288248337029,0.618757612667479,1.88939138339426,1.73584275847474,2.04294000831379,0.108752592782649,0.0834067279710549,0.134098457594242
"67",67,"300630015003","Block Group 3, Census Tract 15, Missoula County, Montana",1855,36.8765498652291,37761.147329197,4.80037313432836,0.748974008207934,7.74492043642961,7.55073195194564,7.93910892091358,0.583069613231268,0.555758011531703,0.610381214930833
"68",68,"300630015004","Block Group 4, Census Tract 15, Missoula County, Montana",1429,43.610566829951,29845.2157598499,4.72678916827853,0.622107969151671,2.62750380411103,2.43899158528948,2.81601602293259,0.245559922076843,0.214442709427829,0.276677134725858
"69",69,"300630016001","Block Group 1, Census Tract 16, Missoula County, Montana",2518,39.0015885623511,39775.0507309814,4.72089721749006,0.731365682841421,1.8493008507289,1.7072819322352,1.9913197692226,0.101982423033111,0.078539736322523,0.125425109743698
"70",70,"300630016002","Block Group 2, Census Tract 16, Missoula County, Montana",1515,37.2894389438944,24177.4675972084,4.7148554336989,0.524936601859679,1.92279337929631,1.73970586093262,2.10588089766,0.114393255732124,0.0841714840192972,0.14461502744495
"71",71,"300630016003","Block Group 3, Census Tract 16, Missoula County, Montana",1982,33.4783047426842,54518.5811444241,4.87154150197628,0.740963855421687,3.79267503039046,3.63260730546266,3.95274275531827,0.324808502074929,0.298386546692092,0.351230457457765
"72",72,"300630016004","Block Group 4, Census Tract 16, Missoula County, Montana",1083,48.5614035087719,47903.5918022473,4.58213096559378,0.605514316012725,1.65805659324894,1.44152069081604,1.87459249568184,0.133664766938437,0.0979217590619603,0.169407774814913
"73",73,"300630018001","Block Group 1, Census Tract 18, Missoula County, Montana",1400,44.6582142857143,30396.8170107713,4.37332053742802,0.51240376390077,1.56112103551772,1.37067568698461,1.75156638405083,0.101819275014922,0.0703829657646965,0.133255584265147
"74",74,"300630018002","Block Group 2, Census Tract 18, Missoula County, Montana",933,46.4581993569132,43283.6528018226,4.54304160688666,0.395886889460154,1.96873743732357,1.73543455218168,2.20204032246545,0.122151922208907,0.0836412329073249,0.16066261151049
"75",75,"300630018003","Block Group 3, Census Tract 18, Missoula County, Montana",999,39.4794794794795,29101.1683629326,4.53576751117735,0.524330900243309,3.8489479908285,3.62348893068567,4.07440705097134,0.299231578290247,0.262015648405338,0.336447508175156
"76",76,"300630018004","Block Group 4, Census Tract 18, Missoula County, Montana",1018,50.102652259332,29646.7065868263,4.76862980769231,0.422764227642276,4.91406506305296,4.69071914462604,5.13741098147989,0.432451589265032,0.395584470086095,0.469318708443969
